drama_id,genre_id,rate
131,9,-0.790087427
131,11,-0.790087427
132,2,-0.548198529
133,3,-0.53580307
133,8,-0.53580307
133,11,-0.53580307
134,3,-0.28935592
134,7,-0.28935592
135,7,0.233953777
136,11,0.44248469
137,1,1.148263053
137,2,1.148263053
137,3,1.148263053
138,2,-0.743983214
138,3,-0.743983214
138,16,-0.743983214
139,2,-0.529663155
139,16,-0.529663155
140,2,-0.286894766
141,2,-0.204431134
142,7,-0.134612777
143,2,1.056727356
144,1,-0.970429659
144,2,-0.970429659
145,1,0.008643627
145,2,0.008643627
145,3,0.008643627
145,8,0.008643627
145,9,0.008643627
145,11,0.008643627
146,1,2.309240809
146,2,2.309240809
147,2,0.448031357
148,2,-0.377381166
149,8,-0.226864764
149,9,-0.226864764
149,11,-0.226864764
150,2,-0.770224558
150,3,-0.770224558
151,3,-0.432253313
151,7,-0.432253313
151,14,-0.432253313
152,3,-0.775003645
152,8,-0.775003645
152,14,-0.775003645
153,3,-0.512601314
153,6,-0.512601314
153,9,-0.512601314
153,14,-0.512601314
154,2,3.277485069
155,7,1.019640563
155,16,1.019640563
156,2,-0.611321613
157,2,-1.046559546
157,12,-1.046559546
158,2,-0.092680055
159,1,0.232715385
159,2,0.232715385
159,5,0.232715385
160,8,-0.5872919
160,9,-0.5872919
160,11,-0.5872919
161,8,-0.127991821
161,9,-0.127991821
161,11,-0.127991821
162,8,-0.444966604
162,11,-0.444966604
162,13,-0.444966604
163,2,1.836225144
163,3,1.836225144
163,8,1.836225144
163,11,1.836225144
163,16,1.836225144
164,8,0.31340525
164,11,0.31340525
165,2,-0.748154705
166,6,0.284714441
166,8,0.284714441
166,9,0.284714441
166,13,0.284714441
167,7,-0.854090002
167,16,-0.854090002
168,2,-1.222656556
168,3,-1.222656556
168,14,-1.222656556
169,5,-0.159171817
169,8,-0.159171817
169,9,-0.159171817
170,2,-0.063989245
171,3,-0.428693592
171,16,-0.428693592
172,2,0.132432451
173,7,-0.333598173
174,2,0.278093485
175,3,-0.570573922
175,11,-0.570573922
176,2,-0.28325354
177,2,-0.13527083
177,3,-0.13527083
177,14,-0.13527083
177,16,-0.13527083
178,3,-0.248673388
179,2,-0.861454025
179,3,-0.861454025
179,14,-0.861454025
179,16,-0.861454025
180,2,-0.920697962
181,8,0.214090909
181,9,0.214090909
181,11,0.214090909
182,8,-0.540698082
182,11,-0.540698082
183,2,-0.353104327
184,3,-0.725167543
184,14,-0.725167543
185,2,1.034860496
186,2,-0.353104327
187,8,-0.318850755
187,9,-0.318850755
187,11,-0.318850755
187,14,-0.318850755
188,8,-0.223246805
188,11,-0.223246805
188,16,-0.223246805
189,2,0.041946052
190,2,-0.615833239
191,5,0.825853988
191,8,0.825853988
191,9,0.825853988
191,11,0.825853988
192,2,-0.741533749
193,2,0.399477679
194,2,-0.725167543
195,2,-0.448004697
196,7,-0.135779362
196,8,-0.135779362
196,9,-0.135779362
196,11,-0.135779362
197,8,-0.68415213
197,9,-0.68415213
197,11,-0.68415213
198,2,0.180018793
198,3,0.180018793
198,4,0.180018793
199,2,-0.357518297
200,2,-0.628977496
201,8,1.367440194
201,11,1.367440194
201,14,1.367440194
202,2,-1.051644862
203,8,-0.676857037
203,11,-0.676857037
203,16,-0.676857037
204,2,-0.40827896
205,2,0.105948627
206,6,-0.349871186
207,3,-0.180959469
207,8,-0.180959469
207,9,-0.180959469
208,14,-0.849249266
208,16,-0.849249266
209,3,0.919590561
209,16,0.919590561
210,2,0.525275844
211,1,0.495308415
211,14,0.495308415
212,7,1.679529184
213,8,-0.127991821
213,9,-0.127991821
213,11,-0.127991821
214,2,-1.257968322
215,7,0.182180052
215,14,0.182180052
216,2,-0.414899917
217,3,-0.236134103
218,3,0.048567008
218,14,0.048567008
219,8,-0.620664289
219,14,-0.620664289
220,11,1.487521458
220,16,1.487521458
221,6,-0.364364338
222,8,0.311198265
223,3,-0.302343664
223,8,-0.302343664
224,3,-1.054925669
225,3,-1.18734479
225,14,-1.18734479
226,2,-0.123574602
227,4,1.594899136
227,8,1.594899136
228,15,-0.737944401
228,16,-0.737944401
229,3,-0.821852123
229,11,-0.821852123
230,3,0.439203415
230,14,0.439203415
231,3,0.553966654
231,11,0.553966654
231,16,0.553966654
232,3,-0.796708383
232,14,-0.796708383
233,3,-0.734130414
233,14,-0.734130414
234,2,-0.675324188
235,3,-0.346483371
236,1,0.004427301
236,3,0.004427301
236,14,0.004427301
237,8,-0.15977241
238,2,-0.328827488
239,11,-0.77958043
239,14,-0.77958043
239,16,-0.77958043
240,3,1.399242044
241,3,0.240574734
241,8,0.240574734
242,16,0.0467835
243,1,-0.182055742
243,3,-0.182055742
244,3,-0.380383085
245,2,-0.697897534
246,3,-1.179497731
246,14,-1.179497731
247,16,-0.130934468
248,1,1.991408528
248,14,1.991408528
249,16,-1.09169173
250,6,1.269029908
250,9,1.269029908
251,3,0.0949137
251,8,0.0949137
252,1,3.699566337
252,3,3.699566337
253,2,0.210585697
254,3,-0.617942569
255,3,-0.718874464
255,14,-0.718874464
255,16,-0.718874464
256,3,1.025198393
257,9,0.677557834
258,3,-0.763688816
258,14,-0.763688816
259,8,-0.843055075
260,9,-0.731269923
260,14,-0.731269923
261,3,0.721697541
261,14,0.721697541
262,3,-0.087659554
262,14,-0.087659554
263,3,0.406729202
263,7,0.406729202
264,1,0.178779144
264,3,0.178779144
265,9,-0.765595809
266,3,-0.639734226
267,3,-0.602493672
268,14,-0.426150933
269,3,-1.019613903
269,14,-1.019613903
270,9,-0.289837413
270,11,-0.289837413
271,14,-0.263353589
272,5,-0.868064937
273,3,0.192668517
273,11,0.192668517
273,14,0.192668517
274,16,0.214090909
275,3,0.063946444
275,16,0.063946444
276,3,-0.890440329
277,3,2.579243548
277,5,2.579243548
278,11,-0.500972345
279,3,5.356366783
280,3,-1.068167581
280,14,-1.068167581
281,3,-0.703809214
282,8,-0.286894766
283,3,-0.976636444
283,14,-0.976636444
283,16,-0.976636444
284,8,-0.574260776
284,16,-0.574260776
285,3,-0.795972721
286,3,-0.481109477
287,8,0.230808391
287,9,0.230808391
288,16,0.637832097
289,3,-0.925783279
289,14,-0.925783279
290,6,0.464415118
291,8,-0.269238883
292,2,2.886750173
293,3,-0.491751516
293,5,-0.491751516
294,8,0.201584659
295,9,-0.708385999
296,2,-0.59366573
297,3,1.84984603
297,5,1.84984603
298,3,-1.015199933
298,14,-1.015199933
