,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
517,막돼먹은 영애씨 시즌15,tvN,20,3C,27.0,28.6,11.0,0.0,0.0,0.0,1.5076923076923077,5.387692307692307,0,드라마,2.6100000000000003,2016-10-31
518,안투라지,tvN,16,21C,11.4,20.6,10.0,0.0,7.0,1.0,1.6627450980392156,5.986274509803918,0,드라마,1.0,2016-11-04
519,사랑이 오네요,SBS,122,22A,31.8,8.0,12.0,0.0,0.0,0.0,4.5150000000000015,18.261666666666667,1,드라마,13.76,2016-06-20
520,우리집에 사는 남자,KBS2,16,3C,20.8,4.2,12.0,0.0,2.0,9.0,1.1470588235294117,7.468627450980393,0,드라마,5.5625,2016-10-24
521,이번 주 아내가 바람을 핍니다,JTBC,12,22B,19.2,20.8,16.0,4.0,9.0,3.0,1.1216216216216217,7.805405405405406,0,드라마,2.816666666666667,2016-10-28
522,별난 가족,KBS1,149,22B,15.2,7.4,17.0,0.0,5.0,0.0,4.426442307692308,20.16394230769231,1,드라마,24.24,2016-05-02
523,여자의 비밀,KBS2,104,22B,22.6,7.6,6.0,0.0,6.0,0.0,4.987500000000002,20.128947368421052,1,드라마,19.076666666666668,2016-06-27
524,당신은 선물,SBS,111,22B,19.8,6.0,13.0,1.0,4.0,0.0,4.913939393939396,20.473939393939396,1,드라마,8.48,2016-06-13
525,다시 시작해,MBC,121,22B,21.8,12.6,7.0,0.0,5.0,0.0,4.67388888888889,20.959444444444447,1,드라마,8.953333333333335,2016-05-23
526,캐리어를 끄는 여자,MBC,16,3C,24.2,15.2,10.0,0.0,4.0,1.0,3.7058823529411766,14.405882352941177,0,법정,8.39375,2016-09-26
527,THE K2,tvN,16,21C,31.4,18.8,13.0,0.0,0.0,0.0,3.601960784313725,14.884313725490196,0,드라마,4.856249999999999,2016-09-23
528,워킹 맘 육아 대디,MBC,120,22B,21.0,3.2,15.0,0.0,4.0,0.0,4.614973262032087,21.137433155080217,1,드라마,9.093333333333332,2016-05-09
529,공항 가는 길,KBS2,16,9C,27.2,10.0,16.0,0.0,0.0,0.0,3.584313725490196,15.247058823529413,0,"가족,로맨스",8.35625,2016-09-21
530,쇼핑왕 루이,MBC,16,9C,21.0,11.4,13.0,0.0,0.0,0.0,3.584313725490196,15.247058823529413,0,드라마,9.05625,2016-09-21
531,질투의 화신,SBS,24,9C,22.6,22.0,7.0,0.0,8.0,0.0,5.107594936708863,17.788607594936696,0,"드라마,로맨스,코메디",10.508333333333333,2016-08-24
532,옥중화,MBC,51,24C,28.6,11.8,19.0,0.0,22.0,0.0,4.675916230366492,21.29267015706806,1,"사극,드라마",20.436666666666667,2016-04-30
533,달의 연인 - 보보경심 려,SBS,20,3C,18.6,8.4,9.0,1.0,4.0,0.0,5.5138461538461545,18.538461538461533,0,"사극,판타지,로맨스",7.590000000000001,2016-08-29
