,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
775,위대한 유혹자,MBC,32,3C,18.4,9.0,2.0,0.0,0.0,0.0,3.801960784313725,12.029411764705882,0,"수사물,서스펜스,로맨스",2.12,2018-03-12
776,그남자 오수,OCN,16,3C,16.0,3.0,14.0,0.0,0.0,0.0,4.456862745098039,10.484313725490196,0,로맨스,0.225,2018-03-05
777,키스 먼저 할까요?,SBS,40,3C,25.2,10.2,12.0,0.0,13.0,0.0,4.2906249999999995,9.196875000000002,0,로맨스,9.266666666666667,2018-02-20
778,작은 신의 아이들,OCN,16,24C,13.6,21.4,9.0,0.0,2.0,0.0,3.6647058823529415,10.417647058823528,0,드라마,3.06875,2018-03-03
779,추리의 여왕 시즌2,KBS2,16,9C,24.8,17.8,0.0,0.0,3.0,0.0,4.162745098039216,9.584313725490196,0,"수사물,액션",6.143749999999999,2018-02-28
780,으라차차 와이키키,JTBC,20,3C,16.6,8.2,14.0,0.0,14.0,0.0,2.9847222222222225,6.459722222222222,0,드라마,1.8,2018-02-05
781,연남동 539,MBN,12,4C,29.8,16.6,0.0,0.0,0.0,0.0,2.043589743589744,1.8615384615384614,0,드라마,1.3499999999999999,2018-01-10
782,미스티,JTBC,16,21C,11.6,12.2,10.0,0.0,0.0,0.0,2.801960784313725,3.0568627450980395,0,"로맨스,수사물,서스펜스",6.35625,2018-02-02
783,리턴,SBS,34,9C,22.8,12.4,12.0,0.0,0.0,0.0,2.2969230769230764,1.4584615384615387,0,"액션,수사물,서스펜스",14.436666666666667,2018-01-17
784,라디오 로맨스,KBS2,16,3C,24.2,4.4,7.0,0.0,0.0,0.0,2.637254901960784,2.356862745098039,0,로맨스,4.012499999999999,2018-01-29
785,크로스,tvN,16,3C,18.0,12.6,0.0,0.0,1.0,3.0,2.637254901960784,2.356862745098039,0,"서스펜스,메디컬",3.8,2018-01-29
786,마더,tvN,16,9C,12.8,8.8,16.0,0.0,1.0,10.0,2.1039215686274506,0.9294117647058825,0,"수사물,서스펜스",3.46875,2018-01-24
787,쇼트,OCN,4,3C,9.8,2.8,0.0,0.0,0.0,0.0,0.05555555555555555,0.9888888888888889,0,드라마,0.2,2018-02-12
788,애간장,OCN,10,3C,7.6,0.6,7.0,0.0,0.0,0.0,0.7000000000000001,-3.02,0,로맨스,0.24000000000000005,2018-01-08
789,나쁜사랑,MBC,129,22A,11.8,3.0,0.0,0.0,0.0,0.0,1.8111111111111102,7.531111111111111,0,드라마,6.13,2019-12-02
790,맛 좀 보실래요,SBS,124,22A,13.8,4.4,13.0,1.0,4.0,0.0,1.6453488372093017,5.878488372093025,0,드라마,8.870000000000001,2019-11-12
791,꽃길만 걸어요,KBS1,123,22A,24.0,5.6,9.0,0.0,0.0,0.0,1.5919075144508665,5.846820809248555,0,드라마,22.38,2019-10-28
792,우아한 모녀,KBS2,103,22B,31.2,10.6,6.0,1.0,5.0,0.0,1.7406896551724131,4.907586206896552,0,"서스펜스,로맨스,수사물,액션",17.013333333333335,2019-11-04
793,사랑은 뷰티풀 인생은 원더풀,KBS2,100,24B,19.4,5.8,15.0,0.0,13.0,0.0,2.32994350282486,7.080790960451979,0,"가족,로맨스,코메디,막장",26.833333333333332,2019-09-28
794,두 번은 없다,MBC,72,11C,33.6,17.4,6.0,0.0,11.0,0.0,1.7952755905511804,4.435433070866142,0,"가족,코메디",10.046666666666665,2019-11-02
795,사랑의 불시착,tvN,16,24C,19.0,17.0,23.0,0.0,8.0,0.0,1.8015384615384609,2.886153846153846,0,"로맨스,드라마",12.1375,2019-12-14
796,스토브리그,SBS,16,21C,26.0,25.6,0.0,0.0,0.0,0.0,1.7062499999999994,2.775,0,"스포츠,드라마",13.893749999999999,2019-12-13
797,검사내전,JTBC,16,3C,23.0,32.2,13.0,1.0,0.0,0.0,1.655172413793103,2.468965517241379,0,법정,3.80625,2019-12-16
798,간택 - 여인들의 전쟁,TV조선,16,24C,17.8,3.6,12.0,0.0,0.0,0.0,1.6603448275862063,2.4499999999999997,0,"로맨스,사극",3.84375,2019-12-14
799,블랙독,tvN,16,3C,15.0,23.6,10.0,0.0,0.0,0.0,1.8745098039215682,2.7196078431372555,0,드라마,4.5,2019-12-16
800,99억의 여자,KBS2,32,9C,25.4,16.0,15.0,1.0,9.0,3.0,1.5098039215686272,2.372549019607843,0,"서스펜스,액션",9.02,2019-12-04
801,초콜릿,JTBC,16,21C,10.8,13.8,14.0,1.0,15.0,0.0,1.6450980392156862,2.5098039215686274,0,드라마,4.1625,2019-11-29
802,하자있는 인간들,MBC,32,9C,20.4,6.0,14.0,0.0,0.0,0.0,1.7039215686274511,2.6803921568627445,0,"로맨스,코메디",2.5799999999999996,2019-11-27
803,싸이코패스 다이어리,tvN,16,9C,29.4,21.4,0.0,0.0,5.0,0.0,1.8058823529411763,3.6686274509803916,0,"수사물,서스펜스,액션",2.15,2019-11-20
804,농부사관학교 2,SBS,4,13C,0.0,0.0,0.0,0.0,0.0,0.0,0.540909090909091,2.5000000000000004,0,로맨스,1.05,2019-12-15
805,VIP,SBS,16,3C,16.8,5.8,0.0,0.0,0.0,0.0,1.3310344827586207,6.684482758620688,0,로맨스,10.9375,2019-10-28
806,보좌관 2 - 세상을 움직이는 사람들,JTBC,10,3C,26.4,17.4,13.0,0.0,4.0,0.0,2.0533333333333337,5.786666666666666,0,드라마,4.34,2019-11-11
807,유령을 잡아라,tvN,16,3C,12.0,3.6,11.0,0.0,0.0,0.0,1.4823529411764707,8.656862745098039,0,드라마,2.875,2019-10-21
808,레버리지 : 사기조작단,TV조선,16,12C,20.8,7.0,14.0,0.0,1.0,2.0,1.4684210526315788,9.645614035087721,0,"수사물,서스펜스,액션",1.76875,2019-10-13
809,쌉니다 천리마마트,tvN,12,10C,12.2,25.4,15.0,0.0,0.0,0.0,4.482051282051285,12.599999999999996,0,코메디,2.7416666666666667,2019-09-20
810,모두의 거짓말,OCN,16,24C,11.4,26.6,9.0,0.0,3.0,0.0,1.6254901960784311,10.962745098039216,0,"액션,서스펜스,수사물",1.425,2019-10-12
811,모두 다 쿵따리,MBC,99,22A,25.2,5.0,11.0,0.0,0.0,0.0,5.555474452554745,19.205109489051107,0,드라마,4.5,2019-07-16
812,시크릿 부티크,SBS,16,9C,18.0,17.2,8.0,0.0,2.0,0.0,4.669444444444447,13.898611111111107,0,"로맨스,서스펜스,액션",4.581250000000001,2019-09-18
813,조선로코 - 녹두전,KBS2,32,3C,25.2,15.0,8.0,0.0,4.0,0.0,3.9052631578947357,13.096491228070173,0,"로맨스,사극",6.196666666666667,2019-09-30
814,나의 나라,JTBC,16,21C,23.0,9.4,18.0,0.0,5.0,0.0,1.4352941176470588,12.580392156862745,0,사극,4.324999999999999,2019-10-04
815,배가본드,SBS,16,21C,23.6,14.2,16.0,0.0,9.0,0.0,5.029230769230772,14.20307692307692,0,액션,10.993749999999999,2019-09-20
816,동백꽃 필 무렵,KBS2,40,9C,18.6,26.0,12.0,0.0,5.0,0.0,5.029230769230772,14.512307692307688,0,"가족,로맨스,드라마",15.620000000000001,2019-09-18
817,어쩌다 발견한 하루,MBC,32,9C,8.4,3.0,15.0,0.0,0.0,0.0,4.08627450980392,13.031372549019611,0,"로맨스,판타지,드라마",3.2166666666666663,2019-10-02
818,날 녹여주오,tvN,16,24C,12.2,7.0,10.0,0.0,7.0,1.0,4.080392156862745,14.360784313725485,0,"판타지,드라마",2.1624999999999996,2019-09-28
819,청일전자 미쓰리,tvN,16,9C,23.2,20.4,5.0,0.0,0.0,0.0,3.6627450980392156,14.982352941176467,0,드라마,2.85,2019-09-25
820,수상한 장모,SBS,123,22A,24.4,6.0,6.0,0.0,0.0,0.0,5.286705202312137,21.37572254335262,0,드라마,6.753333333333335,2019-05-20
821,조선혼담공작소 꽃파당,JTBC,16,3C,11.6,1.4,4.0,5.0,0.0,0.0,5.4921568627451,16.790196078431368,0,사극,3.28125,2019-09-16
822,태양의 계절,KBS2,102,22B,22.0,6.8,19.0,0.0,5.0,0.0,5.837499999999999,21.963157894736856,0,드라마,15.020000000000001,2019-06-03
823,달리는 조사관,OCN,14,9C,21.8,18.4,0.0,0.0,0.0,0.0,6.322727272727274,16.972727272727266,0,"가족,드라마",0.9142857142857144,2019-09-18
824,황금정원,MBC,60,11C,21.6,4.8,11.0,0.0,17.0,0.0,6.786868686868686,22.384848484848497,0,"서스펜스,액션,수사물,가족,로맨스,드라마",8.15,2019-07-20
825,여름아 부탁해,KBS1,128,22B,15.8,5.4,14.0,0.0,0.0,0.0,5.341111111111112,21.634444444444455,0,"가족,드라마",23.230000000000004,2019-04-29
826,우아한 가,MBN,16,9C,33.4,15.4,10.0,0.0,6.0,0.0,7.582758620689655,20.724137931034488,0,드라마,4.93125,2019-08-21
827,위대한 쇼,tvN,16,3C,15.2,10.2,0.0,0.0,4.0,5.0,7.937254901960784,20.635294117647053,0,드라마,2.59375,2019-08-26
828,타인은 지옥이다,OCN,10,24C,16.8,17.0,1.0,5.0,3.0,0.0,9.983783783783784,21.537837837837838,0,"수사물,서스펜스,액션",3.02,2019-08-31
829,멜로가 체질,JTBC,16,21C,6.6,20.8,5.0,14.0,5.0,14.0,6.364705882352942,23.423529411764708,0,"로맨스,드라마",1.4812500000000002,2019-08-09
830,신입사관 구해령,MBC,40,9C,15.4,5.6,6.0,0.0,0.0,0.0,7.305555555555554,24.620833333333337,0,"사극,로맨스,코메디",5.26,2019-07-17
831,너의 노래를 들려줘,KBS2,32,3C,16.8,6.0,5.0,0.0,0.0,0.0,6.927450980392156,23.982352941176472,0,"서스펜스,로맨스,코메디",3.013333333333333,2019-08-05
832,웰컴2라이프,MBC,32,3C,22.2,26.6,16.0,0.0,0.0,0.0,6.927450980392156,23.982352941176472,0,"법정,로맨스,코메디,수사물",4.733333333333333,2019-08-05
833,세상에서 제일 예쁜 내 딸,KBS2,108,24B,39.8,16.4,12.0,0.0,8.0,0.0,4.646739130434784,20.225543478260878,0,드라마,29.57666666666667,2019-03-23
834,아스달 연대기,tvN,18,24C,15.2,13.4,14.0,0.0,13.0,1.0,6.265789473684209,23.785964912280704,0,"판타지,사극",6.550000000000001,2019-06-01
835,악마가 너의 이름을 부를 때,tvN,16,9C,16.6,16.8,9.0,0.0,2.0,5.0,5.064705882352943,24.99803921568628,0,드라마,1.93125,2019-07-31
836,힙합왕 - 나스나길,SBS,6,10C,11.8,0.8,4.0,0.0,0.0,0.0,5.972222222222224,24.772222222222226,0,"음악,드라마",1.2333333333333334,2019-08-09
837,열여덟의 순간,JTBC,16,3C,14.6,10.2,4.0,0.0,8.0,0.0,5.970588235294117,25.958823529411767,0,드라마,3.4,2019-07-22
838,의사요한,SBS,16,21C,14.4,6.4,24.0,0.0,3.0,0.0,7.270588235294115,25.96078431372549,0,"가족,메디컬,드라마",9.61875,2019-07-19
839,닥터탐정,SBS,16,9C,26.6,20.4,7.0,0.0,0.0,0.0,7.2039215686274485,25.91176470588235,0,"수사물,서스펜스,액션",4.24375,2019-07-17
840,미스터 기간제,OCN,16,9C,8.2,6.6,0.0,0.0,0.0,0.0,7.2039215686274485,25.91176470588235,0,"서스펜스,액션,수사물",3.3,2019-07-17
841,저스티스,KBS2,32,9C,22.2,11.8,0.0,0.0,0.0,0.0,7.2039215686274485,25.91176470588235,0,"정치,서스펜스,액션",5.176666666666668,2019-07-17
842,호텔 델루나,tvN,16,24C,14.0,19.0,7.0,0.0,12.0,0.0,6.392156862745095,25.96862745098039,0,"드라마,판타지,로맨스,서스펜스,액션",8.8625,2019-07-13
843,WATCHER (왓쳐),OCN,16,24C,15.8,19.0,11.0,1.0,8.0,1.0,6.541176470588233,25.954901960784305,0,"서스펜스,액션",4.550000000000001,2019-07-06
844,평일 오후 세시의 연인,채널A,16,21C,27.8,13.8,4.0,0.0,0.0,0.0,6.517647058823528,25.992156862745087,0,드라마,1.5437500000000002,2019-07-05
845,"60일, 지정생존자",tvN,16,3C,30.2,18.6,10.0,0.0,6.0,0.0,5.862745098039214,25.894117647058813,0,"수사물,서스펜스,법정,정치",4.46875,2019-07-01
846,조선생존기,TV조선,16,24C,19.0,4.8,14.0,2.0,0.0,0.0,5.553521126760564,24.46619718309859,0,"판타지,사극",1.2437500000000001,2019-06-08
847,레벨업,드라맥스,12,9C,20.2,3.4,0.0,0.0,0.0,0.0,7.921621621621621,26.448648648648646,0,"로맨스,코메디,드라마",0.2,2019-07-10
848,검법남녀 시즌2,MBC,32,3C,16.8,14.2,10.0,0.0,0.0,0.0,6.142105263157895,23.05614035087719,0,"수사물,메디컬,서스펜스",7.05,2019-06-03
849,검색어를 입력하세요 WWW,tvN,16,9C,10.8,10.4,3.0,0.0,0.0,0.0,6.03921568627451,22.76078431372549,0,드라마,3.48125,2019-06-05
850,퍼퓸,KBS2,32,3C,18.4,7.4,14.0,0.0,0.0,0.0,5.709803921568628,22.598039215686274,0,"판타지,로맨스",5.283333333333333,2019-06-03
851,바람이 분다,JTBC,16,3C,19.4,21.0,10.0,9.0,8.0,0.0,4.166666666666665,21.74117647058824,0,드라마,4.0375,2019-05-27
852,녹두꽃,SBS,48,21C,16.8,27.6,12.0,0.0,10.0,0.0,3.2278481012658227,19.987341772151893,0,사극,5.906666666666666,2019-04-26
853,보좌관 - 세상을 움직이는 사람들,JTBC,10,21C,14.8,20.0,13.0,0.0,4.0,0.0,4.083333333333334,22.590000000000007,0,드라마,4.45,2019-06-14
854,이몽,MBC,40,11C,18.2,19.2,12.0,2.0,6.0,2.0,3.2281690140845063,20.733802816901402,0,"액션,로맨스",4.3533333333333335,2019-05-04
855,용왕님 보우하사,MBC,121,22B,22.8,11.0,9.0,0.0,0.0,0.0,2.1227777777777774,12.063333333333325,0,드라마,6.2366666666666655,2019-01-14
856,"단, 하나의 사랑",KBS2,32,9C,21.0,5.0,17.0,0.0,3.0,0.0,3.8274509803921557,21.586274509803925,0,"판타지,로맨스,코메디,드라마",7.206666666666666,2019-05-22
857,봄밤,MBC,32,9C,12.6,9.8,14.0,1.0,0.0,0.0,3.8274509803921557,21.586274509803925,0,로맨스,6.463333333333334,2019-05-22
858,절대그이,SBS,36,9C,16.4,7.0,10.0,9.0,0.0,0.0,3.9155172413793093,21.313793103448276,0,"판타지,로맨스,코메디,드라마",2.4466666666666668,2019-05-15
859,회사 가기 싫어,KBS2,12,2C,8.8,7.0,5.0,0.0,0.0,0.0,3.2141176470588233,18.189411764705877,0,드라마,2.0583333333333336,2019-04-09
860,보이스 시즌3,OCN,16,24C,15.2,14.4,14.0,0.0,6.0,2.0,3.854901960784313,20.680392156862744,0,"수사물,서스펜스,액션",4.26875,2019-05-11
861,구해줘 2,OCN,16,9C,19.4,31.0,3.0,9.0,0.0,0.0,3.2176470588235286,20.315686274509808,0,"서스펜스,액션",2.13125,2019-05-08
862,어비스,tvN,16,3C,17.0,7.6,6.0,0.0,0.0,0.0,2.335294117647058,19.982352941176472,0,드라마,2.6624999999999996,2019-05-06
863,초면에 사랑합니다,SBS,32,3C,27.8,3.4,0.0,0.0,0.0,0.0,2.335294117647058,19.982352941176472,0,"로맨스,코메디",3.3400000000000003,2019-05-06
864,왼손잡이 아내,KBS2,103,22B,23.2,5.4,12.0,0.0,8.0,0.0,1.418666666666666,8.322666666666665,0,드라마,14.876666666666669,2019-01-02
865,그녀의 사생활,tvN,16,9C,15.4,4.6,16.0,0.0,0.0,0.0,2.1176470588235294,16.303921568627448,0,드라마,2.6625,2019-04-10
866,국민 여러분!,KBS2,36,3C,17.6,23.4,9.0,0.0,6.0,1.0,2.3189655172413794,15.136206896551718,0,"수사물,서스펜스,코메디,액션",6.003333333333334,2019-04-01
867,특별근로감독관 조장풍,MBC,32,3C,14.6,12.0,5.0,0.0,0.0,0.0,2.5705882352941174,15.929411764705877,0,"판타지,서스펜스,액션",6.630000000000001,2019-04-08
868,아름다운 세상,JTBC,16,21C,22.2,17.4,10.0,1.0,10.0,0.0,2.1862745098039214,15.462745098039209,0,드라마,3.78125,2019-04-05
869,더 뱅커,MBC,32,9C,32.2,14.6,10.0,1.0,3.0,0.0,1.6372549019607843,13.431372549019608,0,드라마,4.056666666666666,2019-03-27
870,닥터 프리즈너,KBS2,32,9C,17.4,8.6,16.0,0.0,9.0,15.0,1.8087719298245613,12.571929824561401,0,"수사물,메디컬,서스펜스,액션",13.506666666666664,2019-03-20
871,으라차차 와이키키 2,JTBC,16,3C,17.2,5.8,14.0,0.0,14.0,0.0,1.6372549019607843,12.96078431372549,0,드라마,1.5625,2019-03-25
872,자백,tvN,16,24C,14.0,17.4,16.0,0.0,0.0,0.0,1.6647058823529408,12.396078431372553,0,드라마,4.793749999999999,2019-03-23
873,빅이슈,SBS,32,9C,21.0,15.6,13.0,0.0,0.0,0.0,2.037931034482758,10.086206896551724,0,드라마,3.3400000000000003,2019-03-06
874,사이코메트리 그녀석,tvN,16,3C,10.0,2.2,11.0,1.0,0.0,0.0,2.1274509803921564,10.127450980392156,0,드라마,2.39375,2019-03-11
875,해치,SBS,48,3C,15.2,30.6,8.0,0.0,10.0,0.0,1.7177215189873416,8.162025316455694,0,"사극,서스펜스,수사물,액션",7.203333333333333,2019-02-11
876,킬잇,OCN,12,24C,15.8,7.8,6.0,0.0,0.0,0.0,1.7729729729729728,10.986486486486488,0,"서스펜스,수사물,액션",1.7249999999999999,2019-03-23
877,슬플 때 사랑한다,MBC,40,11C,25.2,5.0,15.0,0.0,6.0,0.0,1.5515624999999995,9.228124999999997,0,"드라마,로맨스,막장",9.273333333333335,2019-02-23
878,막돼먹은 영애씨 시즌17,tvN,12,10C,34.6,13.2,11.0,0.0,22.0,0.0,1.4897435897435896,7.567948717948718,0,드라마,2.65,2019-02-08
879,빙의,OCN,16,9C,24.0,20.8,16.0,0.0,0.0,0.0,1.8117647058823525,9.701960784313727,0,드라마,1.88125,2019-03-06
880,열혈사제,SBS,40,21C,9.8,19.6,15.0,0.0,11.0,1.0,1.4261538461538459,7.755384615384615,0,"액션,코메디,서스펜스",17.056666666666665,2019-02-15
881,농부사관학교,SBS,4,11C,0.0,0.0,0.0,0.0,0.0,0.0,0.47500000000000003,8.2,0,드라마,1.2,2019-03-30
882,아이템,MBC,32,3C,18.0,21.0,5.0,0.0,0.0,0.0,1.1019607843137258,5.8431372549019605,0,"판타지,서스펜스,액션",3.6566666666666663,2019-02-11
883,리갈하이,JTBC,16,21C,31.8,33.8,7.0,0.0,4.0,0.0,1.0980392156862746,5.394117647058824,0,드라마,2.5062499999999996,2019-02-08
884,진심이 닿다,tvN,16,9C,23.4,19.0,19.0,0.0,0.0,0.0,1.0490196078431373,5.196078431372549,0,드라마,3.9624999999999995,2019-02-06
885,동네변호사 조들호 2 : 죄와 벌,KBS2,40,3C,21.0,17.8,10.0,0.0,0.0,0.0,0.930379746835443,3.436708860759494,0,법정,5.8,2019-01-07
886,바벨,TV조선,16,24C,38.8,13.0,10.0,0.0,0.0,0.0,1.2403508771929825,4.2438596491228076,0,"서스펜스,수사물,로맨스",3.15,2019-01-27
887,봄이 오나 봄,MBC,32,9C,31.0,22.4,16.0,0.0,8.0,0.0,1.1948275862068964,3.955172413793104,0,"코메디,판타지",2.5266666666666664,2019-01-23
888,눈이 부시게,JTBC,12,3C,34.2,14.8,16.0,4.0,9.0,3.0,0.8837837837837839,5.027027027027028,0,"로맨스,판타지",6.266666666666667,2019-02-11
889,로맨스는 별책부록,tvN,16,24C,11.4,7.2,23.0,0.0,13.0,0.0,1.0019607843137255,3.658823529411766,0,드라마,5.15,2019-01-26
890,왜그래 풍상씨,KBS2,40,9C,28.4,14.4,11.0,0.0,17.0,1.0,0.7753846153846153,2.8200000000000007,0,"가족,코메디",11.34,2019-01-09
891,왕이 된 남자,tvN,16,3C,23.4,12.2,10.0,0.0,0.0,0.0,0.6789473684210526,2.0263157894736845,0,사극,8.41875,2019-01-07
892,트랩,OCN,7,24C,23.4,17.4,1.0,3.0,2.0,0.0,0.7608695652173914,3.0913043478260867,0,"액션,서스펜스,수사물",3.3,2019-02-09
893,최고의 치킨,드라맥스,12,9C,13.6,19.2,0.0,0.0,0.0,0.0,0.572972972972973,0.8432432432432433,0,드라마,0.1,2019-01-02
894,암행어사: 조선비밀수사단,KBS2,16,3C,17.6,2.8,12.0,0.0,1.0,0.0,0.5090909090909091,0.7454545454545456,0,"코메디,사극",9.2875,2020-12-21
895,허쉬,JTBC,16,21C,25.4,30.2,10.0,0.0,2.0,0.0,0.3666666666666667,-0.19999999999999987,0,드라마,2.4875,2020-12-11
896,런 온,JTBC,16,9C,13.4,9.2,7.0,0.0,1.0,0.0,0.36250000000000004,-0.3499999999999999,0,로맨스,2.9937500000000004,2020-12-16
897,여신강림,tvN,16,9C,15.2,3.0,15.0,0.0,7.0,0.0,0.3347826086956522,0.10434782608695654,0,"로맨스,코메디",3.8000000000000003,2020-12-09
898,바람피면 죽는다,KBS2,16,9C,22.4,9.8,13.0,0.0,3.0,0.0,0.26,0.6666666666666664,0,"코메디,서스펜스",4.025,2020-12-02
899,경이로운 소문,OCN,16,24C,29.0,20.6,2.0,7.0,4.0,4.0,0.22941176470588234,0.8588235294117645,0,"판타지,액션",7.875,2020-11-28
900,날아라 개천용,SBS,20,21C,23.8,33.2,13.0,0.0,1.0,0.0,0.7428571428571431,4.876190476190477,0,법정,5.705,2020-10-30
901,낮과 밤,tvN,16,3C,25.2,10.4,9.0,0.0,3.0,0.0,0.24375,0.746875,0,서스펜스,4.543750000000001,2020-11-30
902,복수해라,TV조선,16,24C,19.6,16.8,2.0,0.0,1.0,0.0,0.24878048780487802,1.7707317073170727,0,"로맨스,서스펜스",2.8062500000000004,2020-11-21
903,라이브온,JTBC,8,2C,10.4,1.6,6.0,0.0,5.0,0.0,0.9444444444444448,2.866666666666667,0,로맨스,0.675,2020-11-17
904,제발 그 남자 만나지 마요,MBC every1,10,1C,10.8,11.0,0.0,0.0,0.0,0.0,0.8173076923076926,3.7884615384615383,0,"로맨스,코메디",0.30000000000000004,2020-11-10
905,찬란한 내 인생,MBC,127,22B,34.2,7.6,15.0,0.0,1.0,0.0,6.21935483870968,15.592473118279576,0,드라마,7.283333333333333,2020-06-29
906,펜트하우스,SBS,21,3C,23.2,8.4,12.0,0.0,13.0,0.0,0.6985074626865675,5.3104477611940295,0,"서스펜스,막장",18.547619047619047,2020-10-26
907,카이로스,MBC,16,3C,17.4,6.4,4.0,0.0,1.0,0.0,0.7103448275862071,6.006896551724136,0,"타임슬립,판타지",3.25625,2020-10-26
908,나를 사랑한 스파이,MBC,16,9C,25.8,20.4,10.0,1.0,1.0,8.0,0.8293103448275864,7.091379310344827,0,"액션,로맨스",2.70625,2020-10-21
909,스타트업,tvN,16,24C,28.0,12.6,7.0,0.0,11.0,0.0,0.9078431372549021,8.996078431372549,0,"로맨스,코메디",4.90625,2020-10-17
910,구미호뎐,tvN,16,9C,29.8,13.2,9.0,0.0,2.0,0.0,0.7965517241379311,10.3551724137931,0,"판타지,액션,로맨스",5.231249999999999,2020-10-07
911,경우의 수,JTBC,16,21C,10.0,1.6,10.0,0.0,1.0,0.0,0.8030769230769231,12.332307692307692,0,"로맨스,코메디",1.40625,2020-09-25
912,도도솔솔라라솔,KBS2,16,9C,12.6,11.0,4.0,0.0,3.0,0.0,0.9058823529411765,11.356862745098036,0,"로맨스,코메디",3.28125,2020-10-07
913,사생활,JTBC,16,9C,14.6,16.8,4.0,0.0,3.0,0.0,0.9058823529411765,11.356862745098036,0,드라마,1.75,2020-10-07
914,나의 위험한 아내,MBN,16,3C,20.4,12.6,14.0,1.0,5.0,3.0,0.903921568627451,11.66078431372549,0,로맨스,2.68125,2020-10-05
915,산후조리원,tvN,8,3C,16.0,12.4,2.0,0.0,1.0,0.0,1.5434782608695656,9.765217391304349,0,"로맨스,가족,코메디",3.675,2020-11-02
916,써치,OCN,10,24C,17.4,8.8,3.0,8.0,1.0,3.0,0.38333333333333336,10.843333333333335,0,서스펜스,3.21,2020-10-17
917,18 어게인,JTBC,16,3C,12.6,5.8,5.0,0.0,1.0,0.0,0.35882352941176465,13.94313725490196,0,드라마,2.73125,2020-09-21
918,좀비탐정,KBS2,12,3C,11.8,5.0,2.0,0.0,1.0,0.0,0.3783783783783784,15.383783783783786,0,"액션,판타지,코메디",2.983333333333334,2020-09-21
919,청춘기록,tvN,16,3C,19.6,10.6,11.0,1.0,7.0,0.0,2.1470588235294126,16.862745098039213,0,로맨스,7.625,2020-09-07
920,거짓말의 거짓말,채널A,16,21C,28.2,5.0,1.0,11.0,6.0,0.0,2.498039215686275,17.392156862745097,0,"로맨스,서스펜스",4.34375,2020-09-04
921,앨리스,SBS,16,21C,18.4,6.4,14.0,0.0,0.0,0.0,4.439655172413792,18.4,0,판타지,8.399999999999999,2020-08-28
922,엄마가 바람났다,SBS,122,22A,16.6,4.0,0.0,0.0,0.0,0.0,7.612716763005785,21.120231213872827,0,"로맨스,가족",6.900000000000001,2020-05-04
923,브람스를 좋아하세요?,SBS,16,3C,14.0,4.0,2.0,0.0,3.0,0.0,4.239215686274508,18.425490196078428,0,로맨스,5.6,2020-08-31
924,내가 가장 예뻤을 때,MBC,16,9C,19.4,6.2,16.0,0.0,0.0,0.0,5.031034482758617,20.677586206896546,0,드라마,3.51875,2020-08-19
925,연애는 귀찮지만 외로운 건 싫어!,MBC every1,10,2C,15.6,3.6,11.0,0.0,6.0,2.0,5.2656249999999964,21.789062499999993,0,"로맨스,코메디",0.3222222222222222,2020-08-11
926,미씽: 그들이 있었다,OCN,12,24C,13.2,14.4,7.0,0.0,0.0,0.0,5.359090909090908,19.88181818181818,0,판타지,3.291666666666666,2020-08-29
927,기막힌 유산,KBS1,122,22B,26.6,7.8,10.0,0.0,4.0,0.0,7.655491329479772,21.13468208092485,0,"코메디,가족",21.146666666666665,2020-04-20
928,시네마틱드라마 SF8,MBC,8,10C,13.0,23.8,0.0,0.0,0.0,0.0,5.277192982456136,21.950877192982446,0,판타지,0.9375,2020-08-14
929,비밀의 숲 2,tvN,16,24C,19.2,27.2,14.0,7.0,3.0,0.0,5.888235294117643,22.46666666666666,0,"수사물,법정",7.2562500000000005,2020-08-15
930,악의 꽃,tvN,16,9C,16.8,17.0,16.0,0.0,6.0,0.0,11.898245614035092,24.233333333333338,0,"서스펜스,로맨스",3.9312500000000004,2020-07-29
931,한 번 다녀왔습니다,KBS2,100,24B,34.8,26.4,17.0,0.0,10.0,0.0,7.944705882352941,20.069411764705876,0,"가족,로맨스",32.343333333333334,2020-03-28
932,우아한 친구들,JTBC,17,21C,25.8,18.0,18.0,0.0,0.0,0.0,15.629310344827585,24.88793103448276,0,드라마,4.258823529411764,2020-07-10
933,"우리, 사랑했을까",JTBC,16,9C,20.0,8.2,0.0,0.0,0.0,0.0,15.089473684210523,24.991228070175442,0,로맨스,1.9125,2020-07-08
934,그놈이 그놈이다,KBS2,16,3C,21.6,2.8,0.0,0.0,5.0,0.0,14.077586206896548,24.948275862068964,0,"판타지,로맨스,코메디",3.38125,2020-07-06
935,위험한 약속,KBS2,104,22B,22.4,2.4,10.0,0.0,6.0,0.0,7.422368421052631,19.94210526315789,0,로맨스,14.813333333333334,2020-03-30
936,모범형사,JTBC,16,3C,22.8,22.4,18.0,0.0,8.0,7.0,14.668627450980388,24.703921568627443,0,수사물,5.581250000000001,2020-07-06
937,출사표,KBS2,16,9C,25.4,14.6,0.0,0.0,0.0,0.0,14.592156862745094,24.223529411764698,0,"로맨스,코메디",3.0875,2020-07-01
938,트레인,OCN,12,24C,16.2,6.8,0.0,0.0,0.0,0.0,18.889189189189185,24.291891891891886,0,서스펜스,1.275,2020-07-11
